type,area_in_marla,bedroom,bath,location_city,price
House,14.0,7.0,5.0,Islamabad,162500000.0
House,66.0,7.0,6.0,Islamabad,450000000.0
House,5.0,3.0,4.0,Islamabad,23000000.0
Flat,5.4,3.0,3.0,Islamabad,6500000.0
House,5.0,4.0,6.0,Islamabad,15500000.0
Flat,3.5,2.0,2.0,Islamabad,9243000.0
Flat,7.8,2.0,2.0,Islamabad,21000000.0
House,20.0,8.0,7.0,Islamabad,95000000.0
House,10.0,5.0,6.0,Islamabad,38500000.0
House,10.0,9.0,5.0,Islamabad,46500000.0
House,7.0,7.0,7.0,Islamabad,73000000.0
House,20.0,6.0,7.0,Islamabad,125000000.0
Flat,7.6,2.0,2.0,Islamabad,26000000.0
House,10.0,8.0,6.0,Islamabad,86000000.0
House,7.3,4.0,5.0,Islamabad,53000000.0
House,2.5,2.0,2.0,Islamabad,7500000.0
House,22.0,6.0,7.0,Islamabad,360000000.0
House,20.0,6.0,6.0,Islamabad,90000000.0
House,5.0,4.0,5.0,Islamabad,44000000.0
House,8.0,3.0,3.0,Islamabad,15000000.0
House,20.0,9.0,6.0,Islamabad,73000000.0
House,20.0,6.0,5.0,Islamabad,380000000.0
Flat,9.3,2.0,2.0,Islamabad,100000000.0
Flat,1.5,2.0,1.0,Islamabad,3978000.0
House,20.0,7.0,7.0,Islamabad,180000000.0
Flat,7.3,2.0,3.0,Islamabad,38500000.0
House,8.0,8.0,6.0,Islamabad,60000000.0
House,24.0,6.0,5.0,Islamabad,410000000.0
Flat,10.9,3.0,3.0,Islamabad,35400000.0
House,6.6,4.0,4.0,Islamabad,35000000.0
House,28.0,5.0,5.0,Islamabad,335000000.0
House,5.0,3.0,3.0,Islamabad,11500000.0
House,14.0,8.0,6.0,Islamabad,69900000.0
House,20.0,4.0,5.0,Islamabad,225000000.0
Flat,4.0,2.0,1.0,Islamabad,46000000.0
House,20.0,5.0,5.0,Islamabad,135000000.0
House,20.0,8.0,6.0,Islamabad,170000000.0
House,5.0,3.0,4.0,Islamabad,17000000.0
